source,seed,true_class,predicted_class,n
R,42,Negative,Negative,8398
R,42,Negative,Neutral,30
R,42,Negative,Positive,566
R,42,Neutral,Negative,676
R,42,Neutral,Neutral,71
R,42,Neutral,Positive,506
R,42,Positive,Negative,796
R,42,Positive,Neutral,21
R,42,Positive,Positive,11436
R,123,Negative,Negative,8419
R,123,Negative,Neutral,36
R,123,Negative,Positive,539
R,123,Neutral,Negative,690
R,123,Neutral,Neutral,79
R,123,Neutral,Positive,484
R,123,Positive,Negative,789
R,123,Positive,Neutral,26
R,123,Positive,Positive,11438
R,2026,Negative,Negative,8424
R,2026,Negative,Neutral,24
R,2026,Negative,Positive,546
R,2026,Neutral,Negative,676
R,2026,Neutral,Neutral,71
R,2026,Neutral,Positive,506
R,2026,Positive,Negative,805
R,2026,Positive,Neutral,17
R,2026,Positive,Positive,11431
V,42,Negative,Negative,3847
V,42,Negative,Neutral,211
V,42,Negative,Positive,304
V,42,Neutral,Negative,404
V,42,Neutral,Neutral,5494
V,42,Neutral,Positive,413
V,42,Positive,Negative,519
V,42,Positive,Neutral,285
V,42,Positive,Positive,11023
V,123,Negative,Negative,3784
V,123,Negative,Neutral,226
V,123,Negative,Positive,352
V,123,Neutral,Negative,378
V,123,Neutral,Neutral,5525
V,123,Neutral,Positive,408
V,123,Positive,Negative,496
V,123,Positive,Neutral,283
V,123,Positive,Positive,11048
V,2026,Negative,Negative,3817
V,2026,Negative,Neutral,223
V,2026,Negative,Positive,322
V,2026,Neutral,Negative,387
V,2026,Neutral,Neutral,5500
V,2026,Neutral,Positive,424
V,2026,Positive,Negative,490
V,2026,Positive,Neutral,273
V,2026,Positive,Positive,11064
